cusip,interestrate,remainingbalance,factor,gwac,wam,wala,date
3618HYXW8,5,2808209.32,1,5.738,350,0,2024-10-01
3618HYXX6,5,4909061,1,5.723,358,0,2024-10-01
3618HYX24,5,16050688,1,5.729,359,0,2024-10-01
3618HYX32,5.5,1700466,1,6.223,341,0,2024-10-01
3618HYX40,5.5,2467858.4,1,6.22,352,0,2024-10-01
3618HYX57,5.5,3163785,1,6.232,343,0,2024-10-01
3618HYX65,5.5,3797887.5,1,6.243,360,0,2024-10-01
3618HYX73,5.5,1208820,1,6.164,360,0,2024-10-01
3618HYYA5,5.5,45515468.35,1,6.218,359,0,2024-10-01
3618HYYB3,5.5,12157531.58,1,6.218,358,0,2024-10-01
3618HYYC1,5.5,8182813.9,1,6.236,360,0,2024-10-01
3618HYYD9,5.5,8386268,1,6.23,360,0,2024-10-01
3618HYYE7,5.5,2774415,1,6.219,360,0,2024-10-01
3618HYYF4,5.5,1480805,1,5.922,360,0,2024-10-01
3618HYYG2,5.5,6629304,1,6.215,359,0,2024-10-01
3618HYYH0,6,1075286.25,1,6.72,360,0,2024-10-01
3618HYYJ6,6,1794665.14,1,6.727,354,0,2024-10-01
3618HYYK3,6,2822349.79,1,6.746,356,0,2024-10-01
3618J0VS1,6,17183000,1,6.565,358,0,2024-10-01
3618J0YY5,5,1302187,1,5.626,360,0,2024-10-01
3618J0YZ2,5,4671055,1,5.546,360,0,2024-10-01
3618J0Y25,5.5,1708998.94,1,6.149,360,0,2024-10-01
3618J0Y33,6,2407620,1,6.703,360,0,2024-10-01
3618J1F32,5,1104776.12,1,5.539,359,1,2024-10-01
3618J1F40,5.5,1401840.55,1,5.952,359,1,2024-10-01
3618J1F57,5.5,1326257.72,1,5.995,359,1,2024-10-01
3618J1F65,5.5,1012972.95,1,5.999,359,1,2024-10-01
3618J1F73,6,1028198.45,1,6.5,359,1,2024-10-01
3618J1F81,6,1019757.71,1,6.602,359,1,2024-10-01
3618J2UF6,6,1536187.76,1,6.607,352,1,2024-10-01
3618J2ZG9,5,1121702,1,5.633,360,0,2024-10-01
3618J2ZH7,5.5,1945537,1,6.18,360,0,2024-10-01
3618J2ZJ3,6,1440335,1,6.682,360,0,2024-10-01
3618J2ZK0,6,1525984.43,1,6.622,359,1,2024-10-01
3618J3EH8,6.5,1664170.87,1,6.941,360,0,2024-10-01
3618J3N62,5.5,1112000,1,6.25,360,0,2024-10-01
3618J3P94,6,1040906,1,6.546,360,0,2024-10-01
3618J3QF9,7,1020906.28,1,7.469,360,0,2024-10-01
3618J3QJ1,7.5,1107024,1,7.882,360,0,2024-10-01
3618J3QL6,7.5,1116801.15,1,7.894,360,0,2024-10-01
3618J5G24,6.5,953666.47,1,6.898,478,2,2024-10-01
3618J5LD4,5.5,4587879.66,1,5.966,355,5,2024-10-01
3618J5LF9,5.5,1546483.79,1,6.093,354,5,2024-10-01
3618J5LJ1,6,1006841.59,1,6.438,358,2,2024-10-01
3618J5LK8,5.5,1063297.51,1,6.077,354,6,2024-10-01
3618J5R55,5.5,1756605.75,1,6.059,354,0,2024-10-01
3618J5R63,6,4022867.35,1,6.579,358,1,2024-10-01
3618J5R71,6,8959351.96,1,6.584,359,0,2024-10-01
3618J5R89,5.5,1780542.15,1,6.099,359,1,2024-10-01
3618J5R97,6.5,2899637.33,1,7.015,360,0,2024-10-01
3618J6BT8,5,1104081,1,5.694,349,0,2024-10-01
3618J6BU5,5.5,1655813.76,1,6.121,352,0,2024-10-01
3618J6CY6,5.5,1339984.04,1,6.174,360,0,2024-10-01
3618J6EJ7,5.5,1160382.7,1,6.125,359,1,2024-10-01
3618J6EK4,5.5,2553339.52,1,6.25,360,0,2024-10-01
3618J6EL2,5.5,1706222.54,1,6.219,348,1,2024-10-01
3618J6EU2,7.5,18312842.47,1,7.923,354,0,2024-10-01
3618J6EV0,7.5,17043578,1,7.957,357,0,2024-10-01
3618J6EW8,7.5,12948654,1,7.937,355,0,2024-10-01
3618J6FC1,6.5,6830936,1,6.949,349,0,2024-10-01
3618J6F64,7,14236437,1,7.438,350,0,2024-10-01
3618J6F72,7,4523716.47,1,7.489,359,0,2024-10-01
3618J6F80,7,11239952,1,7.473,355,0,2024-10-01
3618J63H3,6,1191687.91,1,6.546,359,1,2024-10-01
3618J63J9,6,1228066.86,1,6.501,353,7,2024-10-01
3618J7D31,6,3183273.73,1,6.75,474,2,2024-10-01
3618J7D49,6.5,1480163.22,1,6.875,478,2,2024-10-01
3618J7D56,6.5,3183383.39,1,6.875,478,2,2024-10-01
3618J7D64,6.5,2582611.39,1,6.946,478,2,2024-10-01
3618J7D72,6.5,3813475.31,1,7,478,2,2024-10-01
3618J7D98,7,873011.31,1,7.504,474,3,2024-10-01
3618J7EA4,6.5,3014681,1,6.79,479,1,2024-10-01
3618J7EC0,6,212343.24,1,6.625,473,7,2024-10-01
3618J7ED8,7,116803.71,1,7.25,478,2,2024-10-01
3618J7FJ4,5,6997377.04,1,5.595,359,1,2024-10-01
3618J7F70,6.5,1682603.1,1,7.097,357,1,2024-10-01
3618J7F88,6.5,1389642.01,1,7.207,348,1,2024-10-01
3618J7F96,6.5,1046923.63,1,7.025,359,1,2024-10-01
3618J7GA2,5.5,1140335.5,1,6.164,359,1,2024-10-01
3618J7GB0,6,12159489.17,1,6.412,359,0,2024-10-01
3618J7GC8,5.5,9979395.91,1,6.195,357,1,2024-10-01
3618J7GD6,5.5,10090505,1,6.194,359,1,2024-10-01
3618J7GE4,5,8130590.29,1,5.701,359,1,2024-10-01
3618J7GF1,5,10068110.77,1,5.676,359,1,2024-10-01
3618J7GG9,5.5,10150742.19,1,6.167,358,0,2024-10-01
3618J7GH7,6,4875762.89,1,6.681,360,0,2024-10-01
3618J7GJ3,6,15256815.86,1,6.652,358,0,2024-10-01
3618J7GK0,5.5,10039639.7,1,6.177,359,0,2024-10-01
3618J7GL8,6,10230083.8,1,6.673,358,1,2024-10-01
3618J7GM6,5.5,10184090.25,1,6.173,359,1,2024-10-01
3618J7GN4,5,10072651.9,1,5.679,359,1,2024-10-01
3618J7GP9,5.5,10165617.78,1,6.172,360,0,2024-10-01
3618J7GQ7,6.5,1785491.63,1,7.138,359,1,2024-10-01
3618J7GR5,6.5,1660100.61,1,7.138,353,1,2024-10-01
3618J7GS3,6.5,1418207.35,1,7.143,359,1,2024-10-01
3618J7GT1,5.5,9216756.96,1,6.166,357,1,2024-10-01
3618J7GU8,6,5123731.26,1,6.672,355,1,2024-10-01
3618J7GV6,6,7152749.39,1,6.653,354,1,2024-10-01
3618J7GW4,5.5,10248201.3,1,6.189,359,0,2024-10-01
3618J7GX2,5.5,15319006.96,1,6.009,359,0,2024-10-01
3618J7GY0,5.5,8198012.41,1,6.168,360,0,2024-10-01
3618J7GZ7,6,10107133.94,1,6.638,359,0,2024-10-01
3618J7G20,6,10099517.56,1,6.674,358,1,2024-10-01
3618J7G38,6.5,3947115.28,1,7.068,359,1,2024-10-01
3618J7G46,5,7051912.74,1,5.706,356,1,2024-10-01
3618J7G53,6,14706734.26,1,6.437,360,0,2024-10-01
3618J7G61,6,9091157.71,1,6.647,357,0,2024-10-01
3618J7G79,6,7045202.79,1,6.667,359,1,2024-10-01
3618J7G87,5.5,10249482.87,1,6.208,359,1,2024-10-01
3618J7G95,6,4968226.71,1,6.611,359,1,2024-10-01
3618J7HA1,5,10248919.27,1,5.694,356,1,2024-10-01
3618J7HB9,5.5,4992714.23,1,6.132,357,0,2024-10-01
3618J7HC7,6.5,17161600.1,1,6.964,359,1,2024-10-01
3618J7HD5,7,1332546.95,1,7.57,359,1,2024-10-01
3618J7HE3,6.5,4789163.33,1,7.076,355,1,2024-10-01
3618J7HF0,5.5,3667254.33,1,6.135,355,1,2024-10-01
3618J7HG8,5,1009555.73,1,5.689,359,1,2024-10-01
3618J7HH6,5.5,1393685.44,1,6.183,360,0,2024-10-01
3618J7HJ2,6,45673765.79,1,6.54,479,0,2024-10-01
3618J7HK9,5.5,360651.35,1,6.01,473,7,2024-10-01
3618J7HL7,7,3925756.59,1,7.412,479,1,2024-10-01
3618J7HM5,6.5,21830638.63,1,6.929,479,0,2024-10-01
3618J7HN3,7.5,617867.9,1,7.75,479,1,2024-10-01
3618J7HP8,5.5,10129572.62,1,6.203,359,0,2024-10-01
3618J7HQ6,6,10058068.77,1,6.665,358,1,2024-10-01
3618J7HR4,6,6067736.84,1,6.71,359,1,2024-10-01
3618J7HS2,5,8144580.32,1,5.518,359,1,2024-10-01
3618J7HT0,5.5,10138051.05,1,6.173,358,0,2024-10-01
3618J7HU7,5.5,10102709.01,1,6.188,360,0,2024-10-01
3618J7HV5,6,4107765.82,1,6.678,353,1,2024-10-01
3618J7HW3,7,1260737.1,1,7.497,351,1,2024-10-01
3618J7HX1,5.5,8065513.82,1,6.151,356,0,2024-10-01
3618J7HY9,5.5,3845995.85,1,6.143,354,1,2024-10-01
3618J7HZ6,6.5,9097642.99,1,7.042,359,1,2024-10-01
3618J7H29,7,2966485.59,1,7.537,359,1,2024-10-01
3618J7H37,7,1315735.71,1,7.526,359,1,2024-10-01
3618J7H45,5.5,10104913.7,1,6.141,357,0,2024-10-01
3618J7H52,4.5,36602838.13,1,5.137,359,1,2024-10-01
3618J7H60,5,39061281.25,1,5.668,358,1,2024-10-01
3618J7H78,7,1098846.55,1,7.453,359,1,2024-10-01
3618J7H86,7,1036972.61,1,7.581,359,1,2024-10-01
3618J7H94,6.5,5961863.15,1,7.111,357,1,2024-10-01
3618J7JA9,6.5,2029767.28,1,7.112,354,1,2024-10-01
3618J7JB7,6.5,1033176.51,1,7.156,357,0,2024-10-01
3618J7JC5,6.5,1712546.98,1,7.186,359,1,2024-10-01
3618J7JD3,6.5,1567149.48,1,7.021,360,0,2024-10-01
3618J7JE1,7,1022698.5,1,7.541,359,1,2024-10-01
3618J7JF8,7,1026512.67,1,7.583,360,0,2024-10-01
3618J7JG6,6.5,1450698.98,1,7.173,340,1,2024-10-01
3618J7JH4,6,15356602.13,1,6.413,360,0,2024-10-01
3618J7JJ0,6,7162674.63,1,6.72,359,0,2024-10-01
3618J7KJ8,5.5,1284603.4,1,6.127,353,1,2024-10-01
3618J7KK5,5.5,10100498.36,1,6.166,360,0,2024-10-01
3618J7KL3,5.5,8141388.28,1,6.156,360,0,2024-10-01
3618J7KM1,5.5,10237407.68,1,6.194,360,0,2024-10-01
3618J7KN9,5.5,5033147.01,1,6.182,359,0,2024-10-01
3618J7KP4,6,7098349.93,1,6.667,360,0,2024-10-01
3618J7KQ2,5.5,10177822,1,6.149,360,0,2024-10-01
3618J7KR0,5,15180477.36,1,5.701,359,0,2024-10-01
3618J7KS8,6,10121444.58,1,6.664,360,0,2024-10-01
3618J7KT6,5.5,15320083.97,1,6.207,360,0,2024-10-01
3618J7KU3,5,20451094.78,1,5.691,359,1,2024-10-01
3618J7KV1,6,7107447.97,1,6.676,360,0,2024-10-01
3618J7KW9,5.5,8007458.87,1,6.221,360,0,2024-10-01
3618J7KX7,5.5,10212918.94,1,6.173,360,0,2024-10-01
3618J7K25,5,10202072.69,1,5.688,359,0,2024-10-01
3618J7K33,6,15220783.86,1,6.645,359,0,2024-10-01
3618J7K41,6,10099252.63,1,6.61,358,0,2024-10-01
3618J7K58,6,10002457.56,1,6.687,360,0,2024-10-01
3618J7K66,5.5,12096562.29,1,6.029,360,0,2024-10-01
3618J7K74,5.5,10161743.33,1,6.165,358,0,2024-10-01
3618J7K82,5.5,10244994.66,1,6.189,356,0,2024-10-01
3618J7K90,5,1389004.75,1,5.672,360,0,2024-10-01
3618J7LA6,4.5,74951224.48,1,5.075,359,1,2024-10-01
3618J73B4,5.5,1324806.5,1,5.993,359,1,2024-10-01
3618J73C2,6,1802777.27,1,6.406,359,1,2024-10-01
3618J73D0,6.5,1154698.66,1,6.821,359,1,2024-10-01
3618J73E8,5.5,1266998.83,1,5.974,359,1,2024-10-01
3618J73F5,6,1274203.46,1,6.569,359,1,2024-10-01
3618J73G3,6,1102163.79,1,6.563,359,1,2024-10-01
3618J73H1,6.5,1286371.84,1,6.899,359,1,2024-10-01
3618J73L2,5.5,1030323.5,1,6.13,359,1,2024-10-01
3618J73M0,5.5,1328467.89,1,6.179,359,1,2024-10-01
3618J73N8,5.5,2136379.36,1,6.236,359,1,2024-10-01
3618J73P3,5.5,1015302.7,1,6.191,359,1,2024-10-01
3618J73Q1,6,1153207.67,1,6.681,359,1,2024-10-01
3618J73R9,6,1093735.59,1,6.724,359,1,2024-10-01
3618J73S7,6,1052676.52,1,6.72,359,1,2024-10-01
3618J73T5,6,1699013.33,1,6.683,359,1,2024-10-01
3618J73V0,6.5,1340982.6,1,7.2,359,1,2024-10-01
3618J73W8,7,1046377.07,1,7.577,359,1,2024-10-01
3618J8FJ2,6.5,481309.82,1,7.25,479,1,2024-10-01
